dataset,model,seed,accuracy,f1,roc_auc,age_dpd,age_eod,age_eopd,age_di_ratio,sex_dpd,sex_eod,sex_eopd,sex_di_ratio,intersection_dpd,intersection_eod,intersection_eopd,intersection_di_ratio
German Credit,XGBoost,42,0.6366666666666667,0.7505720823798627,0.5693386243386243,0.08989992431250526,0.1011705685618729,0.1011705685618729,0.8833606110201855,0.051470588235294046,0.13875598086124397,0.01814058956916098,0.9349845201238391,0.23030303030303034,0.30065359477124176,0.30065359477124176,0.7333333333333333
German Credit,XGBoost,123,0.62,0.7348837209302326,0.6082539682539683,0.06223194012278199,0.07277576681272624,0.07277576681272624,0.9162516976007242,0.012466884837151304,0.05200678349349919,0.003424657534246589,0.9831968073934048,0.17701863354037262,0.30952380952380953,0.108843537414966,0.774703557312253
German Credit,XGBoost,456,0.6833333333333333,0.7806004618937644,0.656957671957672,0.0804452085784092,0.10052910052910047,0.10052910052910047,0.8934308319347878,0.015105411866985441,0.05818965517241381,0.03846153846153855,0.9797965116279069,0.09139784946236562,0.20454545454545459,0.20454545454545459,0.8794326241134751
German Credit,XGBoost,789,0.6866666666666666,0.7873303167420814,0.6391534391534391,0.26571265956581847,0.3112980769230769,0.14926761218321327,0.6746640119462418,0.015032248235234413,0.08333333333333326,0.010562218065793827,0.9808141042260824,0.3571428571428571,0.4414715719063545,0.2056737588652483,0.5833333333333334
German Credit,XGBoost,1000,0.6766666666666666,0.7886710239651417,0.5996031746031746,0.01200000000000001,0.10625435945129047,0.10625435945129047,0.985576923076923,0.02573529411764708,0.06636500754147812,0.02098383212934296,0.9692982456140351,0.12054329371816641,0.15492957746478875,0.15492957746478875,0.8652751423149905
Adult Income,Logistic Regression,42,0.8527996724332071,0.661487758945386,0.9039543567865329,0.22041448765880445,0.30545408741655117,0.30545408741655117,0.052746697837521915,0.16634084186315834,0.0679330569114096,0.06542252455691089,0.33076587198962015,0.2788798686874827,0.45238095238095233,0.45238095238095233,0.03193028905271582
Adult Income,Logistic Regression,123,0.8508547446002661,0.6546575017776725,0.8971724155483954,0.21849051233453082,0.2359239198891548,0.2359239198891548,0.04234817581304791,0.1763863469022825,0.11906300864363656,0.11906300864363656,0.28971940844718447,0.2787934138046599,0.29850459385691763,0.29850459385691763,0.023024308503940567
Adult Income,Logistic Regression,456,0.8519807554509161,0.6579943235572374,0.9021231790545531,0.21350230024596545,0.2994583700717975,0.2994583700717975,0.06559582155993196,0.1696727827533531,0.10329762667246434,0.10329762667246434,0.31711941756057893,0.27541102514506766,0.4267689375028367,0.4267689375028367,0.03580497714575927
Adult Income,Logistic Regression,789,0.852492578564848,0.6560038195273334,0.9058867395549294,0.21752597048212838,0.46232876712328763,0.46232876712328763,0.03448999066704418,0.16320366288185562,0.07159446515943502,0.07159446515943502,0.327522256559101,0.2741021681152057,0.5969924812030075,0.5969924812030075,0.023259896792788472
Adult Income,Logistic Regression,1000,0.8461459719520934,0.6439232409381663,0.900895247542188,0.21367514063884038,0.11185280273855369,0.11185280273855369,0.06453394231162772,0.17000649991847866,0.1082183878794048,0.1082183878794048,0.3130435315215026,0.2762341826088721,0.1945674044265593,0.1945674044265593,0.03800842398570682
