dataset,mitigation,protected_attribute,strength,alpha,seed,accuracy,f1,roc_auc,age_dpd,age_eod,age_eopd,age_di_ratio,sex_dpd,sex_eod,sex_eopd,sex_di_ratio,intersection_dpd,intersection_eod,intersection_eopd,intersection_di_ratio
Adult Income,Adversarial Debiasing,Age,medium,1.0,123,0.8111372709591566,0.4625691814739295,,0.09252401614632923,0.04378385187051265,0.04378385187051265,0.2676611287852009,0.07457710586457826,0.0349094797952792,0.0349094797952792,0.4469562935885208,0.11722540748828578,0.5961538461538461,0.5961538461538461,0.22235936078991816
Adult Income,Adversarial Debiasing,Age,medium,1.0,456,0.8052001228375474,0.5415562515056613,,0.12157964037361642,0.24436326993324098,0.24436326993324098,0.4066767068273092,0.09975664999329666,0.024270170403735136,0.005276672758148582,0.5409926902213873,0.16716634429400387,0.40909090909090906,0.40909090909090906,0.30316468453940737
Adult Income,Adversarial Debiasing,Age,medium,1.0,789,0.24076159279353054,0.38808679151885156,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Adult Income,Adversarial Debiasing,Age,medium,1.0,1000,0.7785853209130924,0.16839677047289503,,0.025135613937910903,0.040479246897732135,0.040479246897732135,0.15800908165661942,0.01723828401773215,0.00345260514752041,0.00345260514752041,0.44719189194115827,0.031695032011639854,0.2,0.2,0.11586708203530634
Adult Income,Adversarial Debiasing,Age,strong,10.0,42,0.8436892210052206,0.6441388953623864,,0.21724815369111636,0.23635218541378006,0.23635218541378006,0.08153954751153422,0.17892820387649677,0.12307873340692471,0.12307873340692471,0.30399153376638016,0.2783835924330399,0.38095238095238093,0.38095238095238093,0.0637248417272985
Adult Income,Adversarial Debiasing,Age,strong,10.0,123,0.8254683181492476,0.5267832361920621,,0.11056954574604724,0.05091321325103915,0.05091321325103915,0.24680879543435671,0.09753224896487755,0.06004418772732878,0.06004418772732878,0.3892667522123417,0.14597212089757589,0.5192307692307692,0.5192307692307692,0.18674711941340782
Adult Income,Adversarial Debiasing,Age,strong,10.0,456,0.7192138396970007,0.3758816837315131,,0.29364517273972457,0.37171986916347693,0.06101524121425872,0.3512580819472046,0.025148795193235485,0.10122632695392608,0.10122632695392608,0.8886806054729944,0.3752477739023178,0.43168992740848355,0.3939393939393939,0.2644396869775462
Adult Income,Adversarial Debiasing,Age,strong,10.0,789,0.8431773978912888,0.6024909185262065,,0.17254127989529117,0.3082191780821918,0.3082191780821918,0.05869662935830368,0.1268164820650316,0.07046202433162935,0.07046202433162935,0.3536835290520978,0.21651252002302487,0.32394622920938715,0.32394622920938715,0.043821880372249544
Adult Income,Adversarial Debiasing,Age,strong,10.0,1000,0.8158460436073293,0.4064665127020785,,0.07768608791475895,0.062302096705177556,0.062302096705177556,0.06394061531962827,0.05983022906409985,0.028978130673045915,0.028978130673045915,0.32977849565523765,0.099510026759381,0.06659959758551309,0.06659959758551309,0.039504430293102716
Adult Income,Adversarial Debiasing,Sex,weak,0.1,42,0.8019244549083837,0.34071550255536626,,0.07022479774411669,0.09562917243985389,0.09562917243985389,0.02435962030673734,0.020410392707386205,0.08202260412522486,0.08202260412522486,0.6924397245698913,0.07634950365236935,0.26190476190476186,0.26190476190476186,0.013599516031457955
